LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
0O7TPUL7MV,44,125441,163528,585,33,3,10.14,12,0.59,Master's,Self-employed,Single,Yes,No,Business,Yes,0
49ZAT2Y3E8,39,52619,128510,374,100,2,6.55,24,0.7,High School,Unemployed,Married,No,No,Home,No,0
IU3U9TJ711,42,25190,133353,661,9,4,23.73,24,0.52,Bachelor's,Unemployed,Divorced,Yes,Yes,Business,No,1
QLK3UPLBOT,48,23449,62171,687,0,4,2.3,12,0.76,PhD,Unemployed,Divorced,No,No,Home,Yes,0
FSLYLJU246,21,138393,89315,736,32,4,21.01,24,0.17,PhD,Self-employed,Married,No,No,Home,Yes,0
3LU0CB8AZD,65,143401,87273,676,48,2,8.26,24,0.56,High School,Full-time,Divorced,No,Yes,Business,Yes,0
ARR6QADH61,25,48935,163826,524,45,1,14.33,12,0.57,PhD,Part-time,Married,No,Yes,Business,No,1
TUN3J80FEZ,44,38064,232185,778,105,1,10.29,24,0.89,High School,Part-time,Single,No,No,Other,Yes,0
62NQYN2CET,31,55486,131348,351,62,4,3.31,60,0.35,Master's,Unemployed,Divorced,Yes,No,Education,No,0
5DW412PSXL,61,62896,224997,814,91,4,2.42,48,0.64,Bachelor's,Self-employed,Married,Yes,No,Auto,Yes,0
X6H8XY6SLW,26,90112,220660,364,84,3,10.21,12,0.64,High School,Part-time,Single,Yes,Yes,Auto,Yes,0
W7UK81GA92,63,128944,218992,400,102,3,17.39,12,0.33,Bachelor's,Part-time,Single,No,No,Education,No,0
5NF3WA6WH1,42,123546,29024,849,23,4,9.56,48,0.13,Bachelor's,Self-employed,Divorced,No,Yes,Education,No,0
T3C9QP0WOF,21,18425,116926,627,79,1,6.68,36,0.85,Bachelor's,Part-time,Single,No,Yes,Other,Yes,0
BDKCKPHNFV,24,50051,213492,351,75,3,10.56,36,0.45,PhD,Self-employed,Divorced,No,Yes,Education,Yes,0
UTNFH7R03G,52,26280,56359,464,46,4,10.74,24,0.83,Master's,Full-time,Divorced,Yes,Yes,Other,No,0
QXYEGMEZWL,43,83915,154105,439,16,1,16.37,36,0.42,High School,Full-time,Single,Yes,No,Home,Yes,0
BJWQL5F1QT,27,112189,81214,330,115,1,12.27,36,0.19,Master's,Part-time,Single,No,Yes,Auto,Yes,0
1FFUFN350S,45,95470,65158,350,95,4,4.51,60,0.33,High School,Full-time,Divorced,Yes,Yes,Education,No,0
2CL50P4TCW,35,58495,190150,415,92,3,20.48,36,0.23,Master's,Self-employed,Married,Yes,No,Auto,Yes,0
M8DWVT4O49,55,123201,192577,621,106,4,20.52,36,0.38,PhD,Part-time,Married,No,No,Other,Yes,0
QC231XU6TA,53,66876,142102,364,6,2,24.09,48,0.54,PhD,Self-employed,Divorced,Yes,No,Education,No,0
6H7JQTY3TK,68,135810,189780,396,68,4,21.25,48,0.71,PhD,Full-time,Divorced,No,No,Business,Yes,0
88MPGLD2U3,35,70732,83794,631,82,1,6.6,48,0.47,Bachelor's,Full-time,Married,Yes,Yes,Business,No,1
6KEEKRXJH7,31,124522,64541,492,62,2,6.23,12,0.57,Master's,Unemployed,Single,No,No,Business,Yes,0
JLUXD10848,27,44679,104145,353,93,2,18.73,24,0.61,PhD,Unemployed,Divorced,No,No,Education,No,0
NET6C8T0GS,51,113452,125914,802,25,4,17.04,60,0.24,PhD,Part-time,Single,Yes,No,Home,Yes,0
ITFLXDWCMT,39,79639,126167,379,43,1,17.74,12,0.35,PhD,Full-time,Single,Yes,Yes,Auto,Yes,0
PEDW7YF71H,19,50903,176255,784,99,1,9.12,48,0.82,Bachelor's,Part-time,Divorced,No,Yes,Business,No,0
B79DS72E3I,46,48645,82670,328,106,2,15.04,60,0.67,PhD,Full-time,Single,Yes,Yes,Auto,No,0
04MT30GUJ2,54,40384,32545,718,13,4,15.16,36,0.64,PhD,Unemployed,Married,Yes,No,Other,Yes,0
WZ0Z3KAXA9,54,63236,59336,841,10,3,22.89,60,0.31,Bachelor's,Self-employed,Divorced,No,No,Other,Yes,0
7EWCLDK453,26,88011,23704,676,97,4,24.6,48,0.69,Master's,Unemployed,Married,Yes,Yes,Education,No,1
VR18D7ZR8V,41,22731,25254,650,16,3,13.91,12,0.36,High School,Unemployed,Divorced,No,Yes,Business,No,0
JQZG1KAK68,66,136949,78978,649,13,4,9.17,36,0.11,High School,Self-employed,Divorced,No,Yes,Education,No,1
E3I9ZWYIX1,43,133158,147793,769,13,4,5.35,48,0.4,Bachelor's,Part-time,Married,No,Yes,Business,Yes,0
5FINS4RZAV,59,44519,19408,659,93,2,10.31,48,0.29,High School,Unemployed,Single,Yes,Yes,Business,Yes,0
YZMY9UO7HZ,23,30119,182420,308,50,1,5.22,48,0.71,PhD,Self-employed,Single,Yes,No,Business,Yes,0
EMJ8DXU8S0,28,41314,63177,300,45,2,20.64,36,0.8,Master's,Unemployed,Divorced,Yes,No,Home,No,0
O4YCW1NAIU,21,115273,199620,630,51,3,17.43,60,0.2,High School,Self-employed,Single,Yes,Yes,Business,No,0
K9TECZK59N,62,101366,158888,801,103,1,17.61,24,0.59,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,0
00J6NJJDCT,22,69461,33183,378,75,2,19.79,12,0.59,Bachelor's,Unemployed,Married,No,Yes,Education,Yes,0
PRCDDC9SNM,21,109816,107955,754,100,2,22.65,48,0.34,High School,Full-time,Married,No,No,Auto,No,0
U4VVFKAENY,24,33240,52107,680,5,4,9.01,60,0.78,Bachelor's,Self-employed,Married,No,Yes,Business,No,0
44G50GMQ8Q,38,20694,170014,770,13,3,22.97,60,0.3,High School,Unemployed,Divorced,No,Yes,Education,Yes,0
QFHEUM03CC,46,75659,217384,765,115,1,14.63,60,0.35,High School,Unemployed,Married,Yes,No,Business,No,0
HIZMSDA554,28,125248,151293,647,12,3,9.82,24,0.5,Bachelor's,Self-employed,Divorced,Yes,No,Business,Yes,1
2NAXQ5BR88,42,93064,139635,550,96,4,9.27,12,0.52,PhD,Unemployed,Divorced,Yes,Yes,Other,No,0
VSWOTNXBK7,19,113253,224374,527,88,4,13.35,36,0.77,Bachelor's,Self-employed,Single,Yes,No,Other,Yes,1
P9BTWROEIH,36,71760,165322,828,67,3,11.64,12,0.48,Bachelor's,Part-time,Single,Yes,Yes,Other,Yes,0
FVSSK4MECQ,20,58819,231541,656,38,2,13.64,48,0.54,Bachelor's,Full-time,Single,Yes,No,Home,No,0
0LDRSLJGN0,26,119234,209849,509,81,4,15.24,24,0.61,Bachelor's,Unemployed,Married,Yes,Yes,Business,Yes,1
ZGG4WOVV81,36,21796,23426,510,103,1,5.24,36,0.87,Bachelor's,Self-employed,Married,No,No,Home,No,0
DHVB6AHKLB,61,148584,38178,650,70,4,13.39,48,0.88,High School,Unemployed,Single,Yes,Yes,Home,No,0
Q15QVPVRK3,52,100680,76459,559,79,4,18.72,48,0.82,PhD,Part-time,Divorced,No,No,Home,No,0
0N76JXPGH4,27,24538,36285,683,49,1,23.04,48,0.76,Master's,Unemployed,Married,Yes,No,Home,Yes,0
WXVH0ZSATW,37,32730,92558,560,69,4,17.66,12,0.15,High School,Unemployed,Married,Yes,No,Education,Yes,1
RHT3PKIB8C,59,102807,249177,687,83,4,9.92,48,0.82,Master's,Part-time,Married,Yes,No,Other,Yes,0
4MWYF4EEA4,34,141270,69960,501,94,1,18.87,60,0.45,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,0
6RKI5YPGK7,62,19568,86149,542,101,4,23.5,12,0.46,Bachelor's,Unemployed,Single,No,Yes,Auto,No,0
LTB70P1QHP,24,33539,34760,707,50,1,7.48,60,0.86,PhD,Full-time,Married,No,Yes,Business,No,0
PQY3X9U0QP,36,77875,83560,700,113,3,18.61,24,0.45,Bachelor's,Part-time,Divorced,No,Yes,Business,Yes,0
AG3P97N11O,54,71039,245222,549,111,1,8.1,36,0.55,PhD,Full-time,Single,No,Yes,Other,Yes,0
7P8M8R7W96,31,48726,246266,821,12,4,11.18,24,0.44,Master's,Part-time,Divorced,No,Yes,Business,No,1
ZLK2LN67LD,34,132280,150458,725,118,2,22.03,48,0.33,Master's,Part-time,Divorced,Yes,Yes,Other,Yes,0
NXGLFTP9P4,46,97918,245507,425,12,1,15.56,36,0.63,Master's,Self-employed,Divorced,No,No,Education,No,0
N9XHOWBUZI,33,108679,40778,798,8,2,10.61,36,0.84,Bachelor's,Self-employed,Single,No,Yes,Business,Yes,0
TQKUF5PXU4,58,44098,9049,379,71,2,20.93,24,0.48,PhD,Part-time,Married,Yes,No,Education,No,0
NFHT8CQ2VY,62,81126,33870,373,88,1,5.16,36,0.76,High School,Unemployed,Single,Yes,Yes,Other,Yes,0
58IREBGWXK,54,19539,70304,688,26,3,19.33,60,0.27,High School,Self-employed,Divorced,Yes,Yes,Auto,No,0
H1TH48N9WH,53,29519,55157,774,85,4,17.12,24,0.48,High School,Unemployed,Single,No,Yes,Education,No,0
4M51CB6G4N,35,21783,119215,684,68,1,3.21,36,0.16,Master's,Self-employed,Single,No,Yes,Auto,No,0
5QEAYKK559,47,40272,43640,465,40,1,14.44,36,0.48,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,0
FUABXMGELJ,24,40392,55448,510,45,4,22.46,12,0.38,PhD,Unemployed,Married,No,Yes,Other,No,0
V0UYU1SRST,39,59797,221215,547,85,1,23.24,48,0.84,PhD,Full-time,Married,No,Yes,Home,No,0
GA84GF46JY,41,83264,119458,828,71,4,18.75,60,0.9,High School,Part-time,Divorced,No,No,Business,No,0
E9MP9IK0S8,57,15925,23310,408,22,2,21.1,12,0.72,PhD,Unemployed,Single,Yes,No,Other,Yes,0
AOIMOGIH8U,59,97809,19000,610,71,4,20.06,12,0.63,Master's,Self-employed,Single,No,Yes,Other,Yes,0
BHBW2F3JXY,64,95949,108781,834,44,4,9.05,48,0.84,Bachelor's,Self-employed,Married,Yes,Yes,Education,No,0
0OLSK9GDY9,33,83269,44529,607,15,1,22.6,48,0.15,Master's,Part-time,Married,Yes,No,Auto,Yes,0
PI0KJB1KN4,30,97847,105098,321,92,4,10.61,60,0.64,PhD,Part-time,Single,Yes,No,Auto,Yes,0
AE799N56T1,58,137663,20674,800,24,2,17.02,36,0.59,Master's,Part-time,Single,No,Yes,Other,No,0
GJNOFX9F4R,20,44071,142506,708,84,4,6.21,36,0.9,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes,0
GYMDO1H1QZ,65,136639,106475,823,101,3,7.1,36,0.4,High School,Full-time,Divorced,Yes,Yes,Other,No,0
BXVLU2ONG1,20,74811,208948,647,42,1,16.8,48,0.18,High School,Full-time,Single,No,No,Business,Yes,0
DDJGTXTS1L,22,118198,35378,345,98,2,23.4,48,0.79,Bachelor's,Unemployed,Married,Yes,Yes,Auto,No,0
QHN893S6WZ,49,38762,34108,694,61,3,16.24,36,0.5,Master's,Full-time,Single,Yes,Yes,Other,No,0
3WRQFO73EY,61,147419,121465,304,79,4,23.45,36,0.33,Bachelor's,Full-time,Divorced,Yes,No,Education,Yes,0
RAYRCF77G8,68,142521,158948,333,75,1,3.92,24,0.35,Bachelor's,Unemployed,Divorced,No,No,Education,Yes,0
HU2FWQ43Q8,49,91666,168575,700,91,4,21.19,48,0.83,PhD,Part-time,Married,Yes,Yes,Business,Yes,0
L4A6OHXJ4Y,35,86667,230714,355,99,4,6.49,60,0.21,Master's,Full-time,Married,Yes,No,Business,Yes,0
LP33SZHEDN,62,83673,248646,814,118,3,17.05,36,0.74,High School,Full-time,Married,Yes,No,Education,No,0
YAMIKF8YG5,33,39516,208130,724,78,1,10.96,60,0.37,High School,Unemployed,Divorced,Yes,No,Education,Yes,0
DTFQDSN9GN,38,108262,192788,555,107,1,15.79,24,0.25,Master's,Self-employed,Single,Yes,No,Auto,No,0
JZ0JZ2856Y,26,113770,10194,654,19,4,14.9,60,0.39,Master's,Part-time,Single,Yes,No,Business,Yes,0
UYZSXBRICS,49,64599,210538,685,80,1,21.97,36,0.63,PhD,Part-time,Divorced,Yes,Yes,Other,Yes,0
G3I921T7AH,45,47296,113319,546,23,1,18.25,36,0.18,Bachelor's,Full-time,Married,Yes,Yes,Business,No,0
9EMJVAZK6U,66,148745,206251,454,112,1,2.58,60,0.72,Master's,Unemployed,Married,Yes,No,Auto,No,0
417D82H1VN,38,16617,67746,768,38,2,3.32,24,0.8,PhD,Part-time,Divorced,No,Yes,Other,No,0
B55MT7IM7A,60,75952,219560,825,46,3,22.4,12,0.14,Master's,Part-time,Single,No,No,Education,Yes,0
BCC77JT4VY,32,96774,172936,345,96,2,6.22,12,0.5,PhD,Full-time,Married,Yes,No,Auto,Yes,0
K4Z68Z1YM5,19,45078,208868,669,93,1,11.79,24,0.52,High School,Full-time,Married,No,Yes,Business,Yes,0
XW3V7N1Y0K,41,19715,181897,528,6,1,16.84,36,0.61,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,0
0UX0J8J5T9,58,93935,60102,842,22,1,2.53,24,0.64,Bachelor's,Self-employed,Married,Yes,No,Other,No,0
N0GS6DGLAZ,68,123314,248043,320,94,3,20.92,12,0.54,Master's,Part-time,Divorced,Yes,Yes,Business,Yes,0
YMJJ3997TS,62,77973,249871,750,66,1,7.61,12,0.11,PhD,Full-time,Single,Yes,Yes,Business,No,0
5OUJAFVXMR,44,93956,119707,816,34,1,9.47,48,0.49,High School,Unemployed,Married,Yes,Yes,Education,Yes,0
5KGNZNPFCA,49,20376,176638,318,64,2,16.53,36,0.22,Bachelor's,Part-time,Single,Yes,No,Home,Yes,1
9AWO073MFG,37,30322,36941,512,45,2,21.43,36,0.73,PhD,Full-time,Divorced,No,No,Auto,No,0
HZE70XGXKX,45,45740,65132,469,67,1,14.8,12,0.11,Master's,Unemployed,Married,No,Yes,Business,Yes,0
VJGMTXVIMX,50,61717,101131,333,44,2,16.0,24,0.47,Bachelor's,Part-time,Married,No,No,Business,Yes,0
4K23QTO226,35,98250,54722,485,41,2,14.94,36,0.65,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,Yes,0
ETR0RBD22J,50,107806,213103,701,86,2,5.94,12,0.66,PhD,Self-employed,Divorced,No,No,Education,Yes,0
3CP2WIZ75B,46,40536,215651,505,107,4,7.41,48,0.77,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,0
ACFVK9T7FM,37,76597,240058,419,39,4,16.41,60,0.65,Master's,Part-time,Single,No,Yes,Other,Yes,0
IB6R0APTIN,51,18172,52384,756,0,3,14.62,12,0.27,PhD,Self-employed,Single,Yes,No,Business,Yes,0
1A6EVDR8E7,35,26353,246924,660,60,4,8.6,36,0.17,Master's,Unemployed,Single,Yes,Yes,Education,No,1
KIAB5LI0BH,65,102089,67381,731,109,4,22.25,60,0.5,Master's,Unemployed,Married,No,Yes,Auto,No,0
4MPYY8G8D4,27,130241,222782,687,77,4,16.32,36,0.74,PhD,Full-time,Divorced,Yes,Yes,Auto,Yes,0
WNK5GFST2R,57,146415,194185,450,36,1,9.07,36,0.77,Bachelor's,Self-employed,Married,No,No,Home,No,0
WGOYMYMU4T,41,54274,165087,701,79,4,3.6,24,0.21,Master's,Part-time,Divorced,No,Yes,Home,Yes,0
B1ZWQOQEIG,67,41876,8855,362,34,1,5.68,12,0.81,Master's,Unemployed,Divorced,Yes,Yes,Home,No,0
HS9RHTB31M,40,64509,10371,731,87,3,14.42,36,0.65,Master's,Part-time,Divorced,Yes,Yes,Business,No,0
OMRILVQUK1,55,25275,127011,777,16,4,23.97,36,0.84,Master's,Unemployed,Married,No,No,Auto,No,1
V6CGWA0SDQ,37,127467,81678,585,2,2,22.14,60,0.63,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,0
SN2411ZIHY,69,76892,245353,773,32,3,19.84,36,0.56,Bachelor's,Unemployed,Married,No,No,Home,No,0
OKVC5UI0ET,54,113503,32655,461,71,1,15.14,48,0.12,Bachelor's,Part-time,Single,No,Yes,Education,Yes,0
1B606NW191,65,103767,83101,403,52,4,6.9,48,0.11,High School,Part-time,Single,No,Yes,Auto,No,0
5K8Y62S6YU,23,74561,45838,638,109,3,5.7,48,0.68,Master's,Unemployed,Married,Yes,No,Other,Yes,0
PT84MC0S7Q,47,78598,100051,758,98,3,4.17,12,0.12,Master's,Full-time,Divorced,Yes,No,Other,No,0
ZJXRPUTQS9,47,74350,212969,737,99,2,4.8,12,0.37,High School,Unemployed,Married,No,Yes,Auto,Yes,0
2H0IGNQQ5W,40,74225,189992,738,21,1,12.66,12,0.53,Master's,Self-employed,Married,No,No,Auto,No,0
CV1YLNRZNQ,52,110225,162766,642,81,1,19.43,36,0.66,High School,Self-employed,Married,No,No,Auto,No,0
77PQVUCZTJ,59,76223,217450,388,95,2,6.73,36,0.3,Bachelor's,Part-time,Single,No,No,Other,No,0
ZVZLYA8FPX,57,16568,208596,714,107,3,10.18,36,0.75,PhD,Part-time,Married,Yes,No,Business,No,0
CF64LY5DVE,43,37165,203279,846,98,1,8.88,60,0.61,Master's,Full-time,Married,No,No,Business,Yes,0
OFIYSS17QM,60,18098,91891,430,2,1,17.36,12,0.38,Master's,Part-time,Married,Yes,No,Education,No,0
BAU1T4RCJC,57,41632,12014,817,50,2,11.29,24,0.41,Bachelor's,Unemployed,Divorced,No,No,Other,Yes,0
MEQI0MLFMZ,26,79634,157287,444,0,4,17.92,48,0.67,High School,Part-time,Single,Yes,Yes,Education,Yes,0
MUJHQ2MVJQ,30,109958,140640,659,110,2,16.77,12,0.7,High School,Full-time,Divorced,No,Yes,Home,No,0
V9WO1T1TOY,23,83496,135017,431,105,4,13.54,60,0.63,Bachelor's,Unemployed,Divorced,Yes,Yes,Home,Yes,0
9PH0W1RHWR,69,147991,110989,582,86,3,6.21,48,0.79,PhD,Part-time,Divorced,Yes,No,Education,Yes,0
Z1NVKCZH7L,59,27189,91037,350,105,2,15.38,48,0.25,PhD,Part-time,Divorced,Yes,Yes,Auto,Yes,0
YS0RBF2BTF,65,59302,79806,675,57,1,10.59,12,0.57,Master's,Self-employed,Married,Yes,Yes,Auto,Yes,0
0I9Z6GPO5U,26,85270,181008,821,87,1,18.27,12,0.42,PhD,Unemployed,Divorced,Yes,Yes,Home,No,0
CT6CQBL905,41,70517,192884,469,81,4,24.31,60,0.3,Bachelor's,Self-employed,Single,Yes,No,Education,Yes,0
7LB2MMOWVT,57,24705,5660,843,30,2,21.36,24,0.46,High School,Self-employed,Married,No,Yes,Business,No,0
LLUGWGAWGW,48,21442,135630,426,63,3,18.68,24,0.28,Bachelor's,Unemployed,Divorced,Yes,Yes,Home,Yes,0
SGQYLRSXWV,34,119608,181186,410,89,1,17.28,12,0.71,Bachelor's,Self-employed,Single,No,Yes,Education,No,0
0840MBDX8M,68,142278,142449,411,38,2,6.07,60,0.39,Bachelor's,Unemployed,Divorced,Yes,No,Other,Yes,0
BKY6ZG529D,19,91395,54331,445,96,3,6.81,36,0.69,Master's,Full-time,Married,No,Yes,Home,Yes,0
24QON1W00S,35,88421,185277,474,106,3,7.59,60,0.58,Bachelor's,Full-time,Married,Yes,Yes,Education,Yes,0
3JFCPO2DOJ,48,80460,102657,351,66,1,24.43,48,0.47,PhD,Part-time,Single,No,No,Home,No,0
K4LJPEWJAR,49,92552,84184,731,20,3,24.41,12,0.66,High School,Full-time,Married,Yes,No,Auto,No,0
LLP6L89PAB,33,135829,29270,649,57,4,21.29,48,0.47,High School,Part-time,Divorced,No,Yes,Education,Yes,0
K9HT2F0B5K,43,110988,67336,541,102,4,20.16,48,0.49,Master's,Part-time,Married,No,Yes,Home,No,0
0ZMKZFVC2R,37,58287,38894,670,72,1,24.41,36,0.62,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,0
LNZTFSAA9Y,27,64457,170645,303,90,3,23.59,36,0.79,Master's,Self-employed,Single,No,No,Education,Yes,0
124EOYMSP0,24,48014,168426,427,65,2,13.77,12,0.8,Master's,Unemployed,Married,No,Yes,Business,No,0
V6KPOGY31O,49,83168,184724,555,79,2,20.14,60,0.79,PhD,Self-employed,Divorced,No,No,Business,No,0
9ENJ4RV3P1,26,32839,147179,655,74,3,12.26,12,0.32,Bachelor's,Self-employed,Single,No,No,Other,Yes,0
9RD3LGZTMP,61,83954,34904,471,11,4,23.04,36,0.3,High School,Part-time,Divorced,Yes,No,Other,Yes,1
ZYQZANHHUY,55,58508,100714,804,62,4,2.37,12,0.37,Master's,Part-time,Divorced,No,Yes,Business,Yes,0
N2M1Z8XCOP,69,104610,181039,322,105,4,4.45,60,0.47,High School,Unemployed,Single,Yes,Yes,Other,No,0
FGEQT5U904,25,104242,70235,596,93,1,6.93,48,0.16,PhD,Unemployed,Single,No,No,Education,Yes,0
TIE2ARIH78,28,97184,165662,674,115,2,16.13,12,0.39,High School,Part-time,Divorced,No,Yes,Other,No,1
769I1SD5DZ,44,45390,192828,753,77,3,3.67,12,0.78,Bachelor's,Part-time,Married,No,No,Auto,Yes,0
9WSA5DT75F,60,99987,179173,441,101,1,14.37,12,0.7,PhD,Part-time,Divorced,No,Yes,Auto,Yes,0
7WN8VPDSIB,19,86529,26261,393,25,1,4.61,36,0.48,Bachelor's,Unemployed,Single,Yes,Yes,Other,Yes,0
Y2WU48JW3W,22,28267,210383,318,71,3,16.45,12,0.42,High School,Unemployed,Single,No,Yes,Business,Yes,1
EAG5VBEZFR,35,38453,236128,578,56,4,19.54,48,0.46,PhD,Unemployed,Divorced,No,Yes,Business,No,0
X4CKRB908D,36,40254,180880,558,91,4,6.38,36,0.6,High School,Self-employed,Married,Yes,No,Other,No,1
5XYX15E5AL,55,76085,172806,658,48,3,18.85,60,0.69,Bachelor's,Unemployed,Divorced,No,Yes,Home,No,0
61838JOZBD,56,100066,133564,418,111,1,11.85,36,0.53,Bachelor's,Unemployed,Single,No,No,Education,No,0
7RWKEZGBMA,27,93687,160461,584,85,1,13.3,24,0.38,PhD,Unemployed,Divorced,No,No,Education,No,0
XRJW0DKX1Y,65,133229,31357,667,12,3,2.65,60,0.34,PhD,Part-time,Single,Yes,Yes,Business,Yes,1
L0WEU4NGL8,36,34797,245673,836,89,2,16.08,48,0.3,Master's,Part-time,Married,Yes,No,Business,No,0
CHOOFN4407,28,29312,150582,682,70,2,14.07,12,0.61,PhD,Unemployed,Divorced,No,No,Other,Yes,0
G2QIBT0I9T,53,86859,153139,817,108,1,22.53,36,0.12,PhD,Unemployed,Divorced,Yes,No,Business,No,0
G3N9GI4Q6O,55,45828,190306,627,46,4,11.48,36,0.19,Master's,Part-time,Married,No,Yes,Home,No,0
BTG6XN5L7A,22,135631,63143,415,55,2,8.84,12,0.65,Bachelor's,Full-time,Single,Yes,Yes,Other,Yes,0
66ORCH82I8,32,95482,124918,601,117,2,18.6,48,0.62,High School,Unemployed,Divorced,Yes,Yes,Education,No,0
MSW0JWVBQR,24,83970,161385,350,104,3,4.72,36,0.68,High School,Unemployed,Divorced,No,Yes,Auto,No,0
0UT9DRSO56,65,46219,119611,571,56,2,2.46,60,0.57,Master's,Full-time,Married,Yes,No,Home,No,0
BC73WTSODU,30,88455,169491,840,113,4,19.26,36,0.86,High School,Self-employed,Divorced,No,Yes,Other,Yes,0
H37TZE9YI8,69,64311,229773,452,60,2,20.37,36,0.86,Bachelor's,Full-time,Single,Yes,No,Education,Yes,0
8PUP7EJVKI,19,56868,186781,646,43,1,16.72,48,0.14,PhD,Self-employed,Divorced,No,Yes,Auto,Yes,0
OJ37B17YPZ,54,106256,197198,396,39,3,24.14,60,0.18,Bachelor's,Part-time,Married,No,No,Education,Yes,0
3128WELSU8,43,121756,20892,399,50,4,2.45,12,0.76,PhD,Self-employed,Divorced,No,No,Home,Yes,0
V1K61YV7ZP,28,71093,166178,374,89,4,9.72,24,0.72,PhD,Part-time,Married,Yes,Yes,Home,No,0
B3MIB8LX8U,51,134696,195929,412,107,4,19.2,48,0.48,Bachelor's,Unemployed,Married,No,Yes,Business,Yes,0
5BHZFN3BZ1,24,82461,246220,502,70,3,22.58,60,0.24,Bachelor's,Full-time,Single,No,No,Auto,No,0
RXYAJGY5P0,49,19358,35502,784,82,4,24.63,24,0.43,High School,Full-time,Divorced,Yes,No,Home,Yes,0
3XQ5IFU9VD,65,56591,127872,607,65,1,3.94,36,0.12,Master's,Unemployed,Divorced,No,Yes,Home,No,0
P5Y99CLR5C,60,19886,94890,463,32,1,7.27,60,0.53,High School,Self-employed,Single,Yes,No,Other,Yes,0
1ZGJ1KQI1C,52,110252,198779,483,54,2,20.55,48,0.29,Bachelor's,Unemployed,Married,No,No,Auto,No,0
CDE1F55BBI,21,94820,162268,548,99,3,21.95,12,0.14,Master's,Full-time,Divorced,No,No,Other,No,0
69N1VFTYF6,30,71298,110452,403,40,3,12.23,60,0.89,Master's,Unemployed,Single,No,No,Other,Yes,1
TBPQVZVJHH,49,144402,30250,637,88,4,24.42,60,0.61,Bachelor's,Self-employed,Married,No,Yes,Home,No,0
1I6CW78A1O,29,42405,30912,316,100,2,2.85,24,0.17,Bachelor's,Self-employed,Divorced,No,No,Education,Yes,0
SCF5G9SP30,22,98823,225659,664,83,1,20.92,12,0.55,Master's,Self-employed,Single,Yes,Yes,Auto,Yes,0
Z1RGXZCZXN,63,60985,188973,375,110,4,9.09,36,0.35,Master's,Full-time,Divorced,Yes,No,Auto,Yes,0
6N0TXEBTTL,63,49327,11381,460,16,2,4.5,48,0.22,Bachelor's,Part-time,Single,No,Yes,Home,No,0
JRAYCA8M4D,29,139682,41790,493,106,4,17.19,36,0.44,Master's,Self-employed,Married,Yes,Yes,Auto,Yes,0
W5KHX4WUDR,66,144706,19152,474,107,4,20.61,12,0.11,High School,Part-time,Single,No,No,Other,No,0
E5IO3O6SEA,33,141366,127640,626,111,4,5.87,12,0.43,Bachelor's,Self-employed,Single,No,Yes,Other,Yes,0
M4REPGAV51,67,126979,221200,624,98,3,5.86,48,0.4,Bachelor's,Full-time,Married,Yes,No,Other,No,0
ZX7HVZ4ENS,39,32534,230808,755,44,3,14.61,48,0.65,Master's,Self-employed,Married,Yes,Yes,Other,No,0
FNXWTRRWJ2,28,22392,194268,773,30,2,18.72,36,0.81,PhD,Unemployed,Single,Yes,Yes,Other,Yes,0
XEV2MQUTM4,40,90072,182357,569,37,3,18.34,12,0.68,PhD,Full-time,Single,Yes,Yes,Auto,No,0
WKCA8883C1,40,44346,167228,494,25,1,23.27,12,0.38,High School,Full-time,Single,Yes,Yes,Business,Yes,0
91M8WR6KXZ,50,143519,62850,699,93,2,23.97,48,0.4,High School,Self-employed,Married,Yes,Yes,Auto,No,0
NTFTZS4GL1,28,80896,138779,423,42,4,11.1,60,0.31,High School,Self-employed,Married,No,No,Education,No,1
AC1YCZENPM,29,146366,219133,742,113,2,16.05,60,0.79,Bachelor's,Part-time,Single,No,No,Home,No,0
ATMRW47NHH,49,143301,48997,522,99,1,15.54,60,0.5,Master's,Full-time,Single,No,No,Other,Yes,0
2IR9YZBXZ5,22,48581,133884,746,94,1,10.96,24,0.3,PhD,Self-employed,Single,No,Yes,Other,No,0
3LMZPX5WBS,44,26401,74098,388,116,3,14.13,24,0.31,PhD,Part-time,Divorced,Yes,Yes,Auto,Yes,1
NJ39F1PU41,64,108312,156057,840,26,2,10.45,24,0.73,High School,Self-employed,Single,No,No,Other,Yes,0
IP1CXHXGIQ,49,146564,180935,573,100,2,18.53,24,0.86,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,0
6QJB5G9BDC,27,71860,120814,600,57,4,3.4,60,0.52,High School,Unemployed,Married,No,Yes,Education,Yes,0
I4AWBYATHH,60,128287,12488,400,112,3,16.9,48,0.59,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,Yes,0
